Condiciones;Deriv. Naringenin hexosido mg/100mlzumo;Eriodictiol hexosa mg/100mlzumo;Naringenin rutinosido mg/100mlzumo;Hespertin rutinosido mg/100mlzumo
Sacarosa dia 0;0,00;1,20;1,41;5,98
Sacarosa dia 0;0,00;1,20;1,41;5,99
Sacarosa 5º dia 15;0,16;1,23;1,34;5,12
Sacarosa 5º dia 15;0,16;1,22;1,35;5,12
Sacarosa 25º Luz dia 15;0,22;1,44;1,49;5,94
Sacarosa 25º Luz dia 15;0,19;1,37;1,50;5,94
Sacarosa 25º Osc dia 15;0,18;1,33;1,37;5,11
Sacarosa 25º Osc dia 15;0,19;1,33;1,67;5,11
Sacarosa 5º dia 30;0,02;1,05;1,25;3,71
Sacarosa 5º dia 30;-0,01;1,01;1,27;3,82
Sacarosa 25º Luz dia 30;-0,04;1,27;1,52;5,31
Sacarosa 25º Luz dia 30;-0,05;1,29;1,52;5,53
Sacarosa 25º Osc dia 30;0,04;1,31;1,39;4,06
Sacarosa 25º Osc dia 30;0,02;1,30;1,40;4,10
Sacarosa 5º dia 45;-0,02;1,02;1,36;4,23
Sacarosa 5º dia 45;-0,03;1,03;1,37;3,96
Sacarosa 25º Luz dia 45;0,34;1,33;1,45;4,64
Sacarosa 25º Luz dia 45;-0,03;1,31;1,46;4,58
Sacarosa 25º Osc dia 45;0,00;1,45;1,24;3,37
Sacarosa 25º Osc dia 45;0,21;1,44;1,22;3,37
Sacarosa 5º dia 60;0,15;1,07;1,18;3,33
Sacarosa 5º dia 60;0,15;1,15;1,21;3,89
Sacarosa 25º Luz dia 60;0,21;1,41;1,38;3,60
Sacarosa 25º Luz dia 60;0,21;1,40;1,38;4,28
Sacarosa 25º Osc dia 60;0,18;1,33;1,35;4,62
Sacarosa 25º Osc dia 60;0,18;1,32;1,36;4,65
Sacarosa 5º dia 90;0,19;1,31;1,79;4,60
Sacarosa 5º dia 90;0,19;1,32;1,78;3,79
Sacarosa 25º Luz dia 90;0,00;1,52;1,25;3,05
Sacarosa 25º Luz dia 90;0,00;1,54;1,30;3,13
Sacarosa 25º Osc dia 90;0,25;1,55;1,25;2,56
Sacarosa 25º Osc dia 90;0,24;1,56;1,25;2,58
