Condiciones;Deriv. Naringenin hexosido mg/100mlzumo;Eriodictiol hexosa mg/100mlzumo;Naringenin rutinosido mg/100mlzumo;Hespertin rutinosido mg/100mlzumo
Sucralosa dia 0;0,0;1,4;1,5;5,8
Sucralosa dia 0;0,0;1,4;1,5;5,8
Sucralosa 5º dia 15;0,2;1,6;1,5;5,7
Sucralosa 5º dia 15;0,2;1,6;1,5;5,7
Sucralosa 25º Luz dia 15;0,2;1,4;1,1;3,6
Sucralosa 25º Luz dia 15;0,1;1,3;1,1;3,6
Sucralosa 25º Osc dia 15;0,2;1,3;0,9;3,7
Sucralosa 25º Osc dia 15;0,2;1,3;0,9;3,7
Sucralosa 5º dia 30;0,2;1,2;1,3;4,0
Sucralosa 5º dia 30;0,2;1,2;1,2;4,0
Sucralosa 25º Luz dia 30;0,1;1,4;1,3;2,7
Sucralosa 25º Luz dia 30;0,1;1,4;1,3;2,9
Sucralosa 25º Osc dia 30;0,2;1,3;1,4;3,1
Sucralosa 25º Osc dia 30;0,2;1,3;1,4;3,1
Sucralosa 5º dia 45;0,1;1,3;1,5;4,4
Sucralosa 5º dia 45;0,1;1,3;1,6;4,3
Sucralosa 25º Luz dia 45;0,2;1,3;0,6;2,4
Sucralosa 25º Luz dia 45;0,2;1,4;0,6;2,4
Sucralosa 25º Osc dia 45;0,2;1,5;0,7;2,4
Sucralosa 25º Osc dia 45;0,2;1,5;0,7;2,4
Sucralosa 5º dia 60;0,2;1,4;1,6;4,7
Sucralosa 5º dia 60;0,2;1,4;1,6;4,7
Sucralosa 25º Luz dia 60;0,0;1,1;0,6;1,7
Sucralosa 25º Luz dia 60;0,0;1,1;0,6;1,9
Sucralosa 25º Osc dia 60;0,0;1,2;0,6;2,2
Sucralosa 25º Osc dia 60;0,0;1,2;0,6;2,1
Sucralosa 5º dia 90;0,1;1,5;1,4;2,9
Sucralosa 5º dia 90;0,1;1,5;1,4;2,9
Sucralosa 25º Luz dia 90;0,0;1,1;0,6;1,7
Sucralosa 25º Luz dia 90;0,0;1,1;0,6;1,7
Sucralosa 25º Osc dia 90;0,0;1,2;0,6;1,7
Sucralosa 25º Osc dia 90;0,0;1,2;0,6;1,7
