clusters,variable,min,q1,median,mean,q3,max
1,CA,0.003539823,0.011061947,0.026067153,0.04502763,0.044690265,0.246017699
1,CA.G,0.013090495,0.048947069,0.078827547,0.085777768,0.113545817,0.18412066
1,CA.GS,0.002,0.003,0.005,0.005230769,0.006,0.015
1,Total.CA,0.505,0.558,0.6015,0.613423077,0.682,0.803
1,DHPAA,0,0.044525376,0.115131579,0.132536871,0.164591165,0.535244361
1,DHPAA.G,0.00449818,0.038553042,0.068421737,0.090714629,0.112844514,0.287805512
1,DHPAA.GS,0.035479632,0.085713458,0.1478318,0.189163386,0.289750329,0.516425756
1,DHPAA.SS,0.003174603,0.02172619,0.033730159,0.046681334,0.066369048,0.138888889
1,Total.DHPAA,0.011046452,0.050861314,0.08000309,0.103817235,0.123448604,0.291276136
1,TFA.G,0.001026694,0.004962355,0.016084873,0.024811773,0.034137577,0.095824778
1,TFA.S,0.015310818,0.04450857,0.091323509,0.155262894,0.160170758,1
1,Total.TFA,0.001136007,0.046040745,0.09269277,0.15543157,0.161096626,1
1,VA,0.004999084,0.021043573,0.029869524,0.076898968,0.092920465,0.475812768
1,VA.GG,0.012376238,0.084691546,0.159522202,0.189994521,0.223700495,0.753712871
1,VA.GS,0.037786775,0.083839406,0.1548583,0.176675046,0.224949393,0.559041835
1,VA.SS,0.002239642,0.02743561,0.035795133,0.04859958,0.071908778,0.144830161
1,Total.VA,0.007570487,0.026649935,0.050102707,0.088559148,0.104657423,0.500314747
2,CA,0.019469027,0.031858407,0.040707965,0.078692988,0.051327434,0.325663717
2,CA.G,0.011098463,0.055492316,0.115822425,0.11227617,0.144564599,0.249573136
2,CA.GS,0.002,0.004,0.006,0.006307692,0.007,0.012
2,Total.CA,0.715,0.801,0.904,0.907769231,0.981,1.123
2,DHPAA,0.055451128,0.172462406,0.319078947,0.32967033,0.394736842,1
2,DHPAA.G,0.003562142,0.04425377,0.113910556,0.117234689,0.194513781,0.304264171
2,DHPAA.GS,0.011826544,0.113163794,0.232588699,0.255589588,0.335085414,0.703022339
2,DHPAA.SS,0.024603175,0.053968254,0.084436702,0.080267429,0.111904762,0.13452381
2,Total.DHPAA,0.008986507,0.06813266,0.134668864,0.143946537,0.219358327,0.367262334
2,TFA.G,0.003080082,0.006502396,0.014715948,0.030511241,0.041752225,0.100616016
2,TFA.S,0.00213312,0.110001841,0.181271859,0.190747208,0.258681364,0.375450716
2,Total.TFA,0.002996895,0.111101494,0.183016153,0.192211569,0.259442383,0.376808145
2,VA,0.008865041,0.031077636,0.053773475,0.095474804,0.095115895,0.550182467
2,VA.GG,0.064356436,0.159522202,0.206683168,0.259531722,0.324257426,0.623762376
2,VA.GS,0.086707152,0.13719709,0.309041835,0.278373932,0.380904184,0.451417004
2,VA.SS,0.000373274,0.04031355,0.06308324,0.073132914,0.098544233,0.217245241
2,Total.VA,0.031888812,0.042109797,0.082695557,0.114465861,0.117118908,0.577344863
3,CA,0.017699115,0.044690265,0.053982301,0.061946903,0.067699115,0.146902655
3,CA.G,0.079681275,0.145916335,0.174018213,0.227482925,0.285643142,0.438816164
3,CA.GS,0.002,0.0045,0.0065,0.00625,0.00725,0.012
3,Total.CA,1.288,1.31525,1.6385,1.715125,2.0195,2.347
3,DHPAA,0.032424812,0.173402256,0.224859023,0.25881109,0.28418703,0.618890977
3,DHPAA.G,0.023325266,0.031149246,0.065405616,0.076761862,0.104628185,0.159906396
3,DHPAA.GS,0.067427727,0.10640991,0.304862024,0.294714892,0.460906702,0.538764783
3,DHPAA.SS,0.018253968,0.046825397,0.06531746,0.079722222,0.093650794,0.206349206
3,Total.DHPAA,0.015990318,0.047056854,0.089491709,0.098082321,0.133587393,0.198707385
3,TFA.G,0.003764545,0.020277207,0.040041068,0.045388433,0.050393566,0.138261465
3,TFA.S,0.022424826,0.103442769,0.169003714,0.210692939,0.269872121,0.578984982
3,Total.TFA,0.023207002,0.107734045,0.170444341,0.212657824,0.271622002,0.580499627
3,VA,0.007615271,0.010481412,0.032910633,0.04281715,0.049457599,0.145556648
3,VA.GG,0.011138614,0.064975248,0.132425743,0.163490099,0.289294554,0.332673267
3,VA.GS,0.110323887,0.173414305,0.206309042,0.245360999,0.2817139,0.515519568
3,VA.SS,0.028368794,0.056270997,0.075027996,0.083286674,0.114408361,0.137364688
3,Total.VA,0.02244641,0.038390816,0.044818275,0.060638439,0.063715502,0.16891959
4,CA,0.005309735,0.028761062,0.04159292,0.052052971,0.060619469,0.265486726
4,CA.G,0.02902675,0.03756403,0.060614684,0.059398769,0.071001707,0.102447353
4,CA.GS,0.002,0.003,0.003,0.004727273,0.005,0.013
4,Total.CA,0.143,0.22425,0.2585,0.2635,0.30075,0.392
4,DHPAA,0.114324272,0.194078947,0.222274436,0.250888914,0.293233083,0.59962406
4,DHPAA.G,0.009984399,0.025182007,0.042225689,0.070361178,0.081955278,0.329433177
4,DHPAA.GS,0.014454665,0.041392904,0.090670171,0.118302771,0.150459921,0.467805519
4,DHPAA.SS,0.006746032,0.013988095,0.033531746,0.045252173,0.066071429,0.151587302
4,Total.DHPAA,0.029560202,0.043451952,0.061836955,0.088446521,0.107335977,0.353924194
4,TFA.G,0.000342231,0.007272416,0.014544832,0.016956008,0.020362765,0.068788501
4,TFA.S,0.008315918,0.055528786,0.114733685,0.126576584,0.175882213,0.318679415
4,Total.TFA,0.009098876,0.056613725,0.115807809,0.12767392,0.176962858,0.319293728
4,VA,0.00779857,0.014480679,0.023129093,0.033249207,0.035643465,0.127393311
4,VA.GG,0.013613861,0.07394802,0.107054455,0.138905814,0.219678218,0.332673267
4,VA.GS,0.034075574,0.05727058,0.095647773,0.099052264,0.124578273,0.22705803
