clusters,variable,min,q1,median,mean,q3,max
1,E,0.031529546,0.069232649,0.092913026,0.096340792,0.12132176,0.220846746
1,EG.1,0.000236146,0.00653513,0.01564535,0.029794611,0.041545319,0.154149034
1,E.S,0.016150081,0.070755626,0.102423711,0.172471378,0.183329708,0.994745111
1,Total.E,0.000880968,0.007746895,0.016069266,0.030328806,0.041959265,0.154376891
1,HE,0.419213974,0.572052402,0.61790393,0.601164483,0.6430131,0.694323144
1,HE.G,0.00058952,0.004170306,0.008548035,0.039663594,0.054219432,0.187248908
1,HE.GG,0.652173913,0.74048913,0.77173913,0.770430757,0.807065217,0.907608696
1,Total.HE,0.00230688,0.006082765,0.010304791,0.041436392,0.056181242,0.188369841
1,N,0.008222998,0.011010012,0.029045087,0.038034297,0.052249535,0.124822634
1,N.G,0.004713606,0.024723833,0.032760744,0.032697948,0.043529956,0.051327382
1,N.GG,0.001682357,0.007981214,0.015929313,0.027153006,0.035556633,0.108316875
1,N.S,0.005012461,0.032011129,0.055771028,0.07230573,0.089648694,0.351473128
1,Total.N,0.008348128,0.030806711,0.034422394,0.035796322,0.045613557,0.056016865
2,E,0.02851516,0.06811885,0.094674535,0.097591403,0.120656754,0.18659059
2,EG.1,0.001220718,0.018662423,0.028322521,0.04882404,0.051875572,0.295116919
2,E.S,0.044912944,0.082700602,0.209859463,0.239447666,0.28539639,0.847779322
2,Total.E,0.001860792,0.019165961,0.028688688,0.049481299,0.052657351,0.295302838
2,HE,0.194323144,0.524017467,0.574235808,0.566529669,0.620087336,0.788209607
2,HE.G,0.002270742,0.037838428,0.064377729,0.124960185,0.163908297,0.444781659
2,HE.GG,0.345108696,0.706521739,0.763586957,0.752557545,0.845108696,0.894021739
2,Total.HE,0.003906463,0.039684871,0.066301048,0.126603823,0.165148696,0.446163723
2,N,0.009452658,0.0201899,0.029896226,0.054722951,0.08796809,0.174876147
2,N.G,0.119485276,0.161698749,0.166387413,0.182903376,0.17558561,0.408803627
2,N.GG,0.004806265,0.011147604,0.01212095,0.043331304,0.053192477,0.204191648
2,N.S,0.0329222,0.067448018,0.087990755,0.149079806,0.115167757,1
2,Total.N,0.12328111,0.167942137,0.171848148,0.187213633,0.183032897,0.392993698
3,E,0,0.024246353,0.04161109,0.046487987,0.058582835,0.140859661
3,EG.1,0.000175458,0.001409323,0.0055164,0.011921853,0.013805135,0.081842665
3,E.S,0.006646265,0.043007153,0.072260666,0.08533723,0.104380794,0.266614491
3,Total.E,0.000693733,0.001817074,0.005818,0.012277756,0.014303163,0.082007405
3,HE,0.593886463,0.658296943,0.670305677,0.684053049,0.697598253,0.925764192
