clusters,variable,min,q1,median,mean,q3,max
1,E,0.031853312,0.064107842,0.073790871,0.071649772,0.079689029,0.10493892
1,EG.1,0.000238153,0.006651968,0.011632184,0.034264533,0.05617246,0.125075918
1,E.S,0.009490463,0.036596941,0.070762067,0.096247102,0.14101243,0.298754005
1,Total.E,0.000499846,0.006934805,0.012135054,0.034647346,0.056505252,0.125570947
1,HE,0.408296943,0.517467249,0.56768559,0.564046579,0.624454148,0.727074236
1,HE.G,7.64E-05,0.001446507,0.004159389,0.013700983,0.009574509,0.078329694
1,HE.GG,0.519021739,0.63451087,0.720108696,0.699275362,0.766304348,0.847826087
1,Total.HE,0.001436359,0.002214388,0.003688832,0.013797031,0.009058858,0.080403486
1,N,0.006609176,0.024393829,0.044435714,0.060285785,0.071567867,0.20975789
1,N.G,0.001616109,0.017375432,0.029646911,0.030417205,0.043838706,0.064858843
1,N.GG,0.027003949,0.046956855,0.063503209,0.062352902,0.080362616,0.088152663
1,N.S,0.005257143,0.039563159,0.051473475,0.079959154,0.119698817,0.206283924
1,Total.N,0.001891504,0.02416857,0.033295873,0.036299865,0.047540886,0.078205708
2,E,0.079336382,0.103526798,0.11027731,0.116928617,0.120151438,0.175278148
2,EG.1,0.002370318,0.010772823,0.024381756,0.033461701,0.030076652,0.111815796
2,E.S,0.021468603,0.054024329,0.097282333,0.107534689,0.149873946,0.23046743
2,Total.E,0.002659486,0.011336774,0.024755488,0.033841742,0.03056836,0.111960152
2,HE,0.423580786,0.457969432,0.518558952,0.519650655,0.572052402,0.622270742
2,HE.G,0.000349345,0.001465611,0.003149563,0.004858897,0.004939956,0.022641921
2,HE.GG,0.508152174,0.561820652,0.642663043,0.642857143,0.710597826,0.788043478
2,Total.HE,0.001479886,0.002935288,0.00417306,0.005966177,0.005593097,0.024287533
2,N,0.008773546,0.017439582,0.029052709,0.031924403,0.038933844,0.104811911
2,N.G,0.007408911,0.013603175,0.017686265,0.030846862,0.026524736,0.156772593
2,N.GG,0.006702294,0.03178117,0.041730653,0.040493302,0.044581071,0.086037229
2,N.S,0.009534268,0.029722094,0.080128733,0.081421005,0.103837669,0.295440244
2,Total.N,0.007627599,0.019635452,0.021386405,0.035590686,0.038122902,0.159842226
3,E,0.009941735,0.028428118,0.040509596,0.04154344,0.05428927,0.073790871
3,EG.1,0.000204984,0.005116728,0.014475464,0.034684638,0.045732577,0.300447853
3,E.S,0,0.027844929,0.063831779,0.116364685,0.121125985,0.827720075
3,Total.E,0,0.004291549,0.014779826,0.034942727,0.04617992,0.30065525
3,HE,0.541484716,0.615174672,0.649563319,0.646933307,0.681768559,0.729257642
3,HE.G,0,0.000641376,0.001572052,0.002683381,0.004552402,0.008526201
