"","Mínimo","Q1","Media","Media recortada","Mediana","Moda","Varianza","Desviación Estándar","Q3","Máximo","Simetría","Curtosis"
"E",0,0.0405632524535302,0.0893515488653947,0.0808638208807848,0.065062793838784,0.0737908705502074,0.0091595170254873,0.095705365708968,0.104838146940843,1,5.20049084565493,40.1483766010639
"EG.1",0,0.00553682594107782,0.0357312273463561,0.0276907737616391,0.0156835469958125,0.00625348425314145,0.00590073723420512,0.0768162563146963,0.0403037643052093,1,8.58795340888704,98.4492760168948
"E.S",0,0.0610619265821966,0.150268674829559,0.135528522747358,0.104238917425708,0.105123230518063,0.0251100636149208,0.158461552481732,0.185984438834668,1,2.88366350399217,10.2322216751187
"Total.E",0,0.00565243264553193,0.036167387122548,0.0281326769003664,0.0160908837558444,0,0.00590198830255321,0.0768243991356471,0.0408061883577758,1,8.57549360982037,98.2334689803906
"HE",0,0.561681222707424,0.599676855895196,0.605069538732524,0.62117903930131,0.665938864628821,0.0144816164028743,0.120339587845706,0.665938864628821,1,-1.6061598335455,6.09156836740807
"HE.G",0,0.00179312227074236,0.0383656048034934,0.0287114394884591,0.00622816593886463,0.00849399563318778,0.00871552968317628,0.0933570012541977,0.0236435589519651,1,5.61900804942646,45.9934718892306
"HE.GG",0,0.715353260869565,0.755086956521739,0.764660211910851,0.783967391304348,0.820652173913043,0.0194948598742797,0.13962399462227,0.836277173913044,1,-2.31362027448152,7.47256630105984
"Total.HE",0,0.00318012165529549,0.0398577568852762,0.0302181852729993,0.00736134234322463,0.00266597024994831,0.00871122707059167,0.093333954542769,0.0256749257336859,1,5.60248572589442,45.7603950020266
"N",0,0.0136754819682776,0.0446089210328131,0.0381955435431834,0.0269087735166698,0.0290450874130169,0.00527925893906833,0.0726585090616944,0.0472233360547,1,9.39657463425168,117.233472885843
"N.G",0,0.0181323889049033,0.0673837419672159,0.0593125362112502,0.0380251683760305,0,0.00839377999099255,0.0916175746840776,0.0869630500075755,1,5.09535351661612,42.5573071462303
"N.GG",0,0.00790831838227207,0.0348668909000879,0.0277506187808217,0.0168083069869321,0.0168083069869321,0.0053773992386846,0.0733307523395512,0.0379356075402357,1,9.61015401326676,118.511242562675
"N.S",0,0.0302754421376303,0.0959262882338606,0.0825466068321078,0.0576490403483829,0.0514734748837715,0.0163418567565504,0.127835271957901,0.112136643312862,1,3.94937443449019,20.4656350592502
"Total.N",0,0.021855299480928,0.0718075243790554,0.064044261432814,0.0429031387335116,0,0.00834263557394655,0.0913380291770441,0.0924848539250175,1,5.00971908967469,41.9939840982925
